Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-02-29,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,134,,0,0,0,0,0,0
2024-02-28,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,133,,0,0,0,0,0,0
2024-02-27,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,132,,0,0,0,0,0,0
2024-02-26,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,131,,0,0,0,0,0,0
2024-02-25,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,130,,0,0,0,0,0,0
2024-02-24,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,129,,0,0,0,0,0,0
2024-02-23,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,128,,0,0,0,0,0,0
2024-02-22,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,127,,0,0,0,0,0,0
2024-02-21,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,126,,0,0,0,0,0,0
2024-02-20,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,125,,0,0,0,0,0,0
2024-02-19,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,124,,0,0,0,0,0,0
2024-02-18,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,123,,0,0,0,0,0,0
2024-02-17,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,122,,0,0,0,0,0,0
2024-02-16,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,121,,0,0,0,0,0,0
2024-02-15,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,120,,0,0,0,0,0,0
2024-02-14,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,119,,0,0,0,0,0,0
2024-02-13,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,118,,0,0,0,0,0,0
2024-02-12,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,117,,0,0,0,0,0,0
2024-02-11,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,116,,0,0,0,0,0,0
2024-02-10,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,115,,0,0,0,0,0,0
2024-02-09,000116G,EB,Green Line,Green Line Trunk,GL Kenmore-College Ave EB,EB Hynes to Copley,place-hymnl | place-coecl,Between Stations,GAEB-03,Active Restriction,2023-10-18,,10 mph,Track,199.99999999999994,0.037878787878787866,7.015889586736037e-4,53.99,2.7766301040014563e-4,136.42,Multi-Segment,End,114,,0,0,0,0,0,0
