Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-06-30,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,476,,1,0,0,0,1,1
2024-06-29,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,475,,1,0,0,0,0,1
2024-06-28,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,474,,1,0,0,0,0,1
2024-06-27,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,473,,1,0,0,0,0,1
2024-06-26,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,472,,1,0,0,0,0,1
2024-06-25,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,471,,1,0,0,0,0,1
2024-06-24,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,470,,1,0,0,0,0,1
2024-06-23,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,469,,1,0,0,0,0,1
2024-06-22,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,468,,1,0,0,0,0,1
2024-06-21,524641,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB Warren St to Allston St,place-wrnst | place-alsgr,Between Stations,GBEB-14,Active Restriction,2023-03-12,,10 mph,Track,386.00000000000136,0.07310606060606087,0.0013540666902400605,53.99,5.358896100722832e-4,136.42,Single Segment,Start|End,467,,1,0,0,0,0,1
