Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-05-08,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,13,,1,0,0,0,0,1
2024-05-07,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,12,,1,0,0,0,0,1
2024-05-06,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,11,,1,0,0,0,0,1
2024-05-05,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,10,,1,0,0,0,0,1
2024-05-04,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,9,,1,0,0,0,0,1
2024-05-03,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,8,,1,0,0,0,0,1
2024-05-02,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,7,,1,0,0,0,0,1
2024-05-01,000138R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Andrew to Broadway,place-andrw | place-brdwy,Between Stations,RBNB-14,Active Restriction,2024-04-25,,10 mph,Track,199.0000000000009,0.03768939393939411,7.949671786415127e-4,47.41,2.7627469534814627e-4,136.42,Multi-Segment,Start,6,,1,1,0,0,0,1
2024-05-31,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,438,,1,0,0,0,1,1
2024-05-30,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,437,,1,0,0,0,0,1
2024-05-29,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,436,,1,0,0,0,0,1
2024-05-28,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,435,,1,0,0,0,0,1
2024-05-27,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,434,,1,0,0,0,0,1
2024-05-26,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.09015151515151498,0.0019015295328309427,47.41,6.608379647523457e-4,136.42,Multi-Segment,Start,433,,1,0,0,0,0,1
