Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-10-31,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,22,,1,0,0,0,1,1
2024-10-30,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,21,,1,0,0,0,0,1
2024-10-29,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,20,,1,0,0,0,0,1
2024-10-28,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,19,,1,0,0,0,0,1
2024-10-27,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,18,,1,0,0,0,0,1
2024-10-26,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,17,,1,0,0,0,0,1
2024-10-25,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,16,,1,0,0,0,0,1
2024-10-24,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,15,,1,0,0,0,0,1
2024-10-23,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,14,,1,0,0,0,0,1
2024-10-22,000149G,EB,Green Line,Green Line - B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Between Stations,GBEB-04,Active Restriction,2024-10-09,,3 mph,Track,183.00000000000125,0.034659090909091146,6.41953897186352e-4,53.99,2.540616545161351e-4,136.42,Multi-Segment,Start,13,,1,0,0,0,0,1
