Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-12-19,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Active Restriction,2024-12-16,,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,End,3,,0,0,0,0,0,0
2024-12-18,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Active Restriction,2024-12-16,,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,End,2,,0,0,0,0,0,0
2024-12-17,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Active Restriction,2024-12-16,,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,End,1,,0,0,0,0,0,0
2024-12-20,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Restriction Cleared,2024-12-16,2024-12-20,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,End,4,4,0,0,0,0,0,0
2024-12-16,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights to Suffolk Downs,place-orhte | place-sdmnl,Between Stations,BLEB-16,Restriction Opened,2024-12-16,,10 mph,Track,400,0.07575757575757576,0.00607031857031857,12.48,5.553260208002915e-4,136.42,Multi-Segment,End,0,,0,0,0,0,0,0
2024-12-19,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights Station,place-orhte,Station,BLEB-15,Active Restriction,2024-12-16,,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,Start,3,,1,0,0,0,0,1
2024-12-18,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights Station,place-orhte,Station,BLEB-15,Active Restriction,2024-12-16,,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,Start,2,,1,0,0,0,0,1
2024-12-17,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights Station,place-orhte,Station,BLEB-15,Active Restriction,2024-12-16,,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,Start,1,,1,0,0,0,0,1
2024-12-20,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights Station,place-orhte,Station,BLEB-15,Restriction Cleared,2024-12-16,2024-12-20,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,Start,4,4,1,0,0,-1,0,0
2024-12-16,000030B,EB,Blue Line,Blue Line,BL EB,EB Orient Heights Station,place-orhte,Station,BLEB-15,Restriction Opened,2024-12-16,,10 mph,Track,100,0.01893939393939394,0.0015175796425796425,12.48,1.3883150520007287e-4,136.42,Multi-Segment,Start,0,,0,0,1,0,0,1
2024-12-17,000086L,SB,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Between Stations,OLSB-22,Active Restriction,2024-12-16,,10 mph,Track,387.00000000000045,0.07329545454545464,0.003251794789061874,22.54,5.372779251242827e-4,136.42,Multi-Segment,End,1,,0,0,0,0,0,0
2024-12-18,000086L,SB,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Between Stations,OLSB-22,Restriction Cleared,2024-12-16,2024-12-18,10 mph,Track,387.00000000000045,0.07329545454545464,0.003251794789061874,22.54,5.372779251242827e-4,136.42,Multi-Segment,End,2,2,0,0,0,0,0,0
2024-12-16,000086L,SB,Orange Line,Orange Line,OL SB,SB Chinatown to Tufts Med.,place-chncl | place-tumnl,Between Stations,OLSB-22,Restriction Opened,2024-12-16,,10 mph,Track,387.00000000000045,0.07329545454545464,0.003251794789061874,22.54,5.372779251242827e-4,136.42,Multi-Segment,End,0,,0,0,0,0,0,0
2024-12-21,000088L,SB,Orange Line,Orange Line,OL SB,SB Green St. to Forest Hills,place-grnst | place-forhl,Between Stations,OLSB-38,Active Restriction,2024-12-19,,10 mph,Track,399.0000000000002,0.07556818181818187,0.003352625635234333,22.54,5.539377057482911e-4,136.42,Multi-Segment,Start,2,,1,0,0,0,0,1
2024-12-20,000088L,SB,Orange Line,Orange Line,OL SB,SB Green St. to Forest Hills,place-grnst | place-forhl,Between Stations,OLSB-38,Active Restriction,2024-12-19,,10 mph,Track,399.0000000000002,0.07556818181818187,0.003352625635234333,22.54,5.539377057482911e-4,136.42,Multi-Segment,Start,1,,1,0,0,0,0,1
2024-12-22,000088L,SB,Orange Line,Orange Line,OL SB,SB Green St. to Forest Hills,place-grnst | place-forhl,Between Stations,OLSB-38,Restriction Cleared,2024-12-19,2024-12-22,10 mph,Track,399.0000000000002,0.07556818181818187,0.003352625635234333,22.54,5.539377057482911e-4,136.42,Multi-Segment,Start,3,3,1,0,0,-1,0,0
2024-12-19,000088L,SB,Orange Line,Orange Line,OL SB,SB Green St. to Forest Hills,place-grnst | place-forhl,Between Stations,OLSB-38,Restriction Opened,2024-12-19,,10 mph,Track,399.0000000000002,0.07556818181818187,0.003352625635234333,22.54,5.539377057482911e-4,136.42,Multi-Segment,Start,0,,0,0,1,0,0,1
2024-12-21,000088L,SB,Orange Line,Orange Line,OL SB,SB Forest Hills Station,place-forhl,Station,OLSB-39,Active Restriction,2024-12-19,,10 mph,Track,600.9999999999998,0.11382575757575754,0.005049944879137424,22.54,8.343773462524377e-4,136.42,Multi-Segment,End,2,,0,0,0,0,0,0
2024-12-20,000088L,SB,Orange Line,Orange Line,OL SB,SB Forest Hills Station,place-forhl,Station,OLSB-39,Active Restriction,2024-12-19,,10 mph,Track,600.9999999999998,0.11382575757575754,0.005049944879137424,22.54,8.343773462524377e-4,136.42,Multi-Segment,End,1,,0,0,0,0,0,0
2024-12-22,000088L,SB,Orange Line,Orange Line,OL SB,SB Forest Hills Station,place-forhl,Station,OLSB-39,Restriction Cleared,2024-12-19,2024-12-22,10 mph,Track,600.9999999999998,0.11382575757575754,0.005049944879137424,22.54,8.343773462524377e-4,136.42,Multi-Segment,End,3,3,0,0,0,0,0,0
