Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2025-02-25,000164G,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,WB Summit Ave to Brandon Hall,place-sumav | place-bndhl,Between Stations,GCWB-14,Restriction Cleared,2025-02-24,2025-02-25,3 mph,Power,95.00000000000028,0.017992424242424296,3.332547553699629e-4,53.99,1.318899299400696e-4,136.42,Multi-Segment,Start,1,1,1,0,0,-1,0,0
2025-02-24,000164G,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,WB Summit Ave to Brandon Hall,place-sumav | place-bndhl,Between Stations,GCWB-14,Restriction Opened,2025-02-24,,3 mph,Power,95.00000000000028,0.017992424242424296,3.332547553699629e-4,53.99,1.318899299400696e-4,136.42,Multi-Segment,Start,0,,0,0,1,0,0,1
2025-02-28,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,9,,1,0,0,0,1,1
2025-02-27,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,8,,1,0,0,0,0,1
2025-02-26,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,7,,1,0,0,0,0,1
2025-02-25,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,6,,1,0,0,0,0,1
2025-02-24,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,5,,1,0,0,0,0,1
2025-02-23,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,4,,1,0,0,0,0,1
2025-02-22,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,3,,1,0,0,0,0,1
2025-02-21,000162G,IB,Red Line,Red Line - Mattapan,Mattapan Line SB,IB Cedar Grove to Butler,place-cedgr | place-butlr,Between Stations,MLIB-12,Active Restriction,2025-02-19,,10 mph,,300,0.056818181818181816,0.0011984429828766467,47.41,4.164945156002186e-4,136.42,Single Segment,Start|End,2,,1,0,0,0,0,1
